Child Abuse,freq
Harry Potter,57
Severus Snape,24
Draco Malfoy,21
Sirius Black,11
Remus Lupin,9
Original Female Character,8
Voldemort,7
none,6
Hermione Granger,6
Tom Riddle,6
Original Male Character,4
Lucius Malfoy,4
Bellatrix Black Lestrange,3
Lily Evans Potter,3
Vernon Dursley,3
James Potter,2
Oliver Queen,2
Regulus Black,2
Ron Weasley,2
Credence Barebone,2
Original Percival Graves,2
Kyle Broflovski,1
Stan Marsh,1
Ginny Weasley,1
Jasper Hale,1
Barry Allen,1
Gomez Addams,1
Morticia Addams,1
Marlene McKinnon,1
Narcissa Black Malfoy,1
Lily Evans,1
Pansy Parkinson,1
to be added as they occur,1
Orion Black,1
Minerva McGonagall,1
Delphi,1
Hannibal Lecter,1
Will Graham,1
Marge Dursley,1
Bartemius Crouch Jr.,1
Gilderoy Lockhart,1
Nymphadora Tonks,1
Jax Teller,1
Thomas Teller I,1
Merula Snyde,1
Player Character,1
Fred Weasley,1
Xanxus (Katekyou Hitman Reborn!),1
Madam (OFC),1
Luna Lovegood,1
John Watson,1
Sherlock Holmes,1
Dudley Dursley,1
Abraxas Malfoy,1
Hedwig,1
