Angst with a Happy Ending,freq
Draco Malfoy,231
Harry Potter,212
Hermione Granger,118
Severus Snape,52
Remus Lupin,38
Sirius Black,37
Tom Riddle,14
Credence Barebone,12
Original Percival Graves,12
Ron Weasley,10
Lucius Malfoy,8
Pansy Parkinson,8
Teddy Lupin,8
Original Female Character,7
Reader,7
James Sirius Potter,7
Neville Longbottom,6
Theodore Nott,6
Ginny Weasley,6
Regulus Black,5
James Potter,5
Rey,5
Voldemort,4
Fred Weasley,4
Original Male Character,4
Kylo Ren,4
Charlie Weasley,4
Cedric Diggory,3
Lily Evans Potter,3
Scorpius Malfoy,3
Loki ,3
Antonin Dolohov,2
Blaise Zabini,2
Nymphadora Tonks,2
Albus Severus Potter,2
none,2
Andromeda Black Tonks,2
George Weasley,2
Dean Winchester,2
Percy Weasley,2
Spike (BtVS),1
Kyle Broflovski,1
Stan Marsh,1
Malachai Kai Parker,1
Harry Styles,1
Louis Tomlinson,1
Derek Hale,1
Stiles Stilinski,1
Miya Atsumu,1
Miya Osamu,1
Kim Namjoon | RM,1
Kim Seokjin | Jin,1
Lily Evans,1
Godric Gryffindor,1
Dobby,1
Hannah Abbott,1
Severus Snape (One sided),1
Seamus Finnigan,1
Cormac McLaggen,1
Victoire Weasley,1
Lavender Brown,1
Parvati Patil,1
Fleur Delacour,1
Marcus Flint,1
Padma Patil,1
Other,1
Marlene McKinnon,1
Tony Stark,1
Albus Dumbledore,1
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay,1
Ben Solo,1
Phil Coulson,1
Minerva McGonagall,1
Dean Thomas,1
Castiel,1
Narcissa Black Malfoy,1
Newt Scamander,1
Theseus Scamander,1
Harvey - Relationship,1
Ted Tonks,1
Luna Lovegood,1
