Rimming,freq
Harry Potter,490
Draco Malfoy,349
Sirius Black,78
Severus Snape,77
Remus Lupin,71
Hermione Granger,38
Ron Weasley,30
Lucius Malfoy,18
Voldemort,15
Original Percival Graves,15
Albus Severus Potter,14
Tom Riddle,13
Scorpius Malfoy,12
Pansy Parkinson,11
Blaise Zabini,10
Credence Barebone,9
James Sirius Potter,9
Albus Dumbledore,8
Gellert Grindelwald,8
Teddy Lupin,8
Newt Scamander,8
Oliver Wood,7
Neville Longbottom,7
Original Male Character,7
George Weasley,6
Theodore Nott,6
Daphne Greengrass,5
Ginny Weasley,5
Regulus Black,5
Marcus Flint,4
Fred Weasley,4
James Potter,4
Lily Evans Potter,3
Bill Weasley,3
Cormac McLaggen,3
Narcissa Black Malfoy,3
none,3
Nymphadora Tonks,3
Antonin Dolohov,3
Theseus Scamander,3
Percy Weasley,3
Charlie Weasley,3
Prince Charmont (Ella Enchanted),2
Reader,2
Quirinus Quirrell,2
Dean Thomas,2
Seamus Finnigan,2
Arthur Weasley,2
Natasha Romanov ,2
Viktor Krum,2
Fenrir Greyback,2
Cedric Diggory,2
Fleur Delacour,2
Original Character,2
Mrs Granger,1
Ootori Kyoya,1
Henry Emily,1
William Afton | Dave Miller,1
Johann Struensee,1
Colin Creevey,1
Frank Zhang,1
Percy Jackson,1
Rubeus Hagrid,1
Jasper Hale,1
Im Jaebum | JB,1
Jackson Wang,1
Chiara Lobosca,1
Penny Haywood,1
Ernie Macmillan,1
Justin Finch - Fletchley,1
Other,1
Bakugou Katsuki,1
Midoriya Izuku,1
Shiloe,1
Peter Pettigrew,1
Original Characters,1
Riven,1
Hermione,1
o&#39;knutzy - Relationship,1
Luna Lovegood,1
Jackson Whittemore,1
Stiles Stilinski,1
Mundungus Fletcher,1
Sam Merlotte,1
Harry Dresden,1
Astoria Greengrass,1
Albus Severus Potter - Weasley,1
James Sirius Potter - Weasley,1
Albus Potter,1
James Potter II,1
Harry Potter (imagination),1
Dudley Dursley,1
Asami Ryuichi,1
Hoozuki Suigetsu,1
Uchiha Sasuke,1
Vernon Dursley,1
Padma Patil,1
Hag,1
Harvey Kinkle,1
Nicholas Scratch,1
Harry Styles,1
