Mutual Pining,freq
Draco Malfoy,193
Harry Potter,145
Hermione Granger,131
Sirius Black,46
Remus Lupin,37
Severus Snape,24
Pansy Parkinson,11
Theodore Nott,11
Original Female Character,10
James Potter,9
Fred Weasley,9
Neville Longbottom,8
Ron Weasley,8
George Weasley,7
James Sirius Potter,6
Scorpius Malfoy,6
Charlie Weasley,5
Voldemort,5
Credence Barebone,5
Original Percival Graves,5
Rey,4
Dean Thomas,4
Seamus Finnigan,4
Albus Severus Potter,4
Tom Riddle,4
Teddy Lupin,4
Drarry - Relationship,3
Lucius Malfoy,3
Kylo Ren,3
Oliver Wood,3
Lily Evans Potter,3
Bill Weasley,3
Luna Lovegood,3
Blaise Zabini,3
Albus Dumbledore,2
Viktor Krum,2
Ginny Weasley,2
Reader,2
Alice Longbottom,2
Finn O&#39;Hara,2
Leo Knut,2
Percy Weasley,2
Newt Scamander,2
Theseus Scamander,2
Andromeda Black Tonks,1
Ted Tonks,1
Harry Hart | Galahad,1
Dorcas Meadowes,1
Marlene McKinnon,1
Marcus Flint,1
Original Character,1
Harry Styles,1
Louis Tomlinson,1
Im Jaebum | JB,1
Jackson Wang,1
Gellert Grindelwald,1
Cho Chang,1
Lily Luna Potter,1
Jeon Jungkook,1
Park Jimin,1
Asami Ryuichi,1
Daphne Greengrass,1
Lysander Scamander,1
Rose Weasley,1
Logan Tremblay,1
Ben Solo,1
Nymphadora Tonks,1
Aziraphale,1
Crowley ,1
Steve Rogers,1
Alicia Spinnet,1
Susan Bones,1
Tina Goldstein,1
Narcissa Black Malfoy,1
Connor,1
Hank Anderson,1
Sesshomaru,1
Arthur Pendragon (Merlin),1
Merlin,1
Jade Thirlwall,1
Perrie Edwards,1
Eren Yeager,1
Levi,1
