Fluff,freq
Draco Malfoy,435
Harry Potter,428
Hermione Granger,355
Severus Snape,165
Sirius Black,118
Remus Lupin,115
Original Female Character,84
Reader,50
Ron Weasley,31
Scorpius Malfoy,29
Charlie Weasley,29
Tom Riddle,29
Fred Weasley,26
Albus Severus Potter,24
Pansy Parkinson,23
Original Percival Graves,22
Neville Longbottom,22
James Potter,19
George Weasley,18
Theodore Nott,18
Lucius Malfoy,18
Newt Scamander,16
Voldemort,16
Ginny Weasley,15
Albus Dumbledore,13
Gellert Grindelwald,13
Blaise Zabini,12
Original Character,11
Credence Barebone,11
Lily Evans Potter,10
Teddy Lupin,9
Luna Lovegood,9
none,8
Bellatrix Black Lestrange,8
James Sirius Potter,7
Viktor Krum,7
Cormac McLaggen,7
Nymphadora Tonks,6
Fleur Delacour,6
Oliver Wood,6
Narcissa Black Malfoy,5
Percy Weasley,5
Finn O&#39;Hara,4
Leo Knut,4
Daphne Greengrass,4
Player Character (Hogwarts Mystery),4
Dean Winchester,4
Logan Tremblay (lumosinlove),3
Andromeda Black Tonks,3
Cedric Diggory,3
Marcus Flint,3
Rey,3
Regulus Black,3
Ted Tonks,2
Antonin Dolohov,2
Loki ,2
Jae Kim,2
Bill Weasley,2
Lavender Brown,2
Sheev Palpatine,2
Other,2
Tony Stark,2
Padma Patil,2
Kylo Ren,2
Original Male Character,2
Tina Goldstein,2
Logan Tremblay,2
Leta Lestrange,2
Theseus Scamander,2
Dean Thomas,2
Castiel,2
Bartemius Crouch Jr.,2
Jeon Jungkook,2
Thorfinn Rowle,2
Marlene McKinnon,2
Barnaby Lee,2
Jacob Kowalski,2
Percival Graves | Gellert Grindelwald,2
Loki,2
Ron Weasley (past),1
Peter Griffin,1
Sans,1
Rabastan Lestrange,1
Alastor (Hazbin Hotel),1
Orion Amari,1
OFC,1
Shelby Goodkind,1
Toni Shalifoe,1
Harry Hart | Galahad,1
Clark Kent,1
James,1
Sirius,1
Millicent Bulstrode,1
Moaning Myrtle,1
Kim Namjoon | RM,1
Kim Seokjin | Jin,1
Sam Winchester,1
Harry Styles,1
Louis Tomlinson,1
Salazar Slytherin,1
Clay | Dream,1
