Good Severus Snape,freq
Severus Snape,61
Harry Potter,40
Hermione Granger,25
Draco Malfoy,10
Original Female Character,6
Sirius Black,6
Lily Evans Potter,3
Tom Riddle,3
none,2
Remus Lupin,2
Voldemort,2
Vernon Dursley,2
Original Male Character,2
Harem,2
Reader,2
Ginny Weasley,2
Loki ,2
Ootori Kyoya,1
Past Lily Evens Potter,1
Neville Longbottom,1
Lily Evans,1
Lucy Heartfilia,1
Natsu Dragneel,1
Lucius Malfoy,1
Severus Snape (One sided),1
Blaise Zabini,1
Other Relationship Tags to Be Added,1
Aurora Sinistra,1
Reader x snape,1
Chell,1
GLaDOS,1
Narcissa Black Malfoy,1
Cedric Diggory,1
Sabrina Spellman,1
Emmett Cullen,1
James Potter,1
Rodolphus Lestrange,1
