Drarry,freq
Harry Potter,958
Draco Malfoy,955
Hermione Granger,24
none,23
Drarry - Relationship,13
Remus Lupin,11
Sirius Black,10
Ron Weasley,8
Pansy Parkinson,8
Severus Snape,7
Lucius Malfoy,4
Blaise Zabini,4
Tom Riddle,4
Regulus Black,3
Scorpius Malfoy,3
Narcissa Black Malfoy,3
James Potter,3
Lily Evans Potter,3
Ginny Weasley,3
Draco Malfoy&amp;Harry Potter,3
Draco,3
Harry,3
James Sirius Potter,2
Original Female Character,2
Bellatrix Black Lestrange,2
Nico di Angelo,2
Will Solace,2
Albus Severus Potter,2
George Weasley,1
Lee Jordan,1
Colin Creevey,1
Jacob Black,1
Renesmee Cullen,1
Teddy Lupin,1
pre Harry Potter,1
Harry Potter x Draco Malfoy - Relationship,1
Dobby,1
Astoria Greengrass,1
Original Male Character,1
Reader,1
Dean Thomas,1
Seamus Finnigan,1
Charlie Weasley,1
Ginny Weasley (briefly) Harry Potter,1
Draco Malfoy and Harry Potter - Relationship,1
Ginny,1
Luna,1
Original Character|Original Character,1
Love - Relationship,1
Romantic - Relationship,1
Fred Weasley,1
Cedric Diggory,1
Fleur Delacour,1
Theodore Nott,1
Annabeth Chase,1
Percy Jackson,1
I don’t think there are any in this installment but there will be in later ones!,1
Drapple - Relationship,1
Voldemort,1
包养转恋人,1
Eren Yeager,1
Levi,1
Brendon Urie,1
Dallon Weekes,1
femHarry Potter,1
德哈 - Relationship,1
