Masturbation,freq
Harry Potter,355
Draco Malfoy,303
Hermione Granger,227
Severus Snape,127
Sirius Black,64
Remus Lupin,60
Ron Weasley,44
Tom Riddle,36
Ginny Weasley,33
Original Female Character,26
none,25
Lucius Malfoy,24
Reader,22
Albus Dumbledore,20
Gellert Grindelwald,19
Original Percival Graves,18
Albus Severus Potter,18
Pansy Parkinson,16
Voldemort,15
Scorpius Malfoy,15
Neville Longbottom,13
Credence Barebone,11
Lily Evans Potter,11
George Weasley,11
Newt Scamander,11
Fred Weasley,10
Oliver Wood,9
Luna Lovegood,9
Narcissa Black Malfoy,9
Blaise Zabini,8
Percy Weasley,7
Nymphadora Tonks,7
Charlie Weasley,7
Daphne Greengrass,6
James Potter,6
James Sirius Potter,6
Bill Weasley,5
Original Male Character,5
Bellatrix Black Lestrange,4
Millicent Bulstrode,4
Gilderoy Lockhart,4
Teddy Lupin,4
Theodore Nott,4
Lavender Brown,4
Marcus Flint,4
Colin Creevey,3
Dean Thomas,3
Molly Weasley,3
Tina Goldstein,3
Cormac McLaggen,3
Abernathy,3
Kylo Ren,3
Rey,3
Astoria Greengrass,3
Original Character,3
Alice Longbottom,3
Petunia Evans Dursley,2
Other,2
Minerva McGonagall,2
Romilda Vane,2
Seamus Finnigan,2
Viktor Krum,2
Antonin Dolohov,2
Fenrir Greyback,2
Moaning Myrtle,2
Theseus Scamander,2
Angelina Johnson,2
Cedric Diggory,2
Spike (BtVS),1
Graham Montague,1
Mr Granger,1
Harry Hart | Galahad,1
Caspian Wood,1
Dallas Fox,1
Wyatt Snow,1
Sybill Trelawney,1
Severus Snape x Reader,1
Rolf Scamander,1
Dean Winchester,1
Wanda Maximoff,1
Banana,1
Isaac Lahey,1
Jackson Whittemore,1
Loki ,1
Tony Stark,1
Orion Black,1
Din Djarin,1
Steve Rogers,1
Bakugou Katsuki,1
Midoriya Izuku,1
Thorfinn Rowle,1
Regulus Black,1
Merula Snyde,1
Player Character,1
Vinda Rosier,1
Seraphina Picquery,1
Terry Boot,1
Arthur Weasley,1
Keith,1
Lance (Voltron),1
Jae Kim,1
