Fanart,freq
Harry Potter,25
Draco Malfoy,20
Severus Snape,13
Hermione Granger,9
Remus Lupin,6
Sirius Black,6
Newt Scamander,5
Scorpius Malfoy,4
Tina Goldstein,3
Albus Severus Potter,2
Teddy Lupin,2
none,2
James Potter,1
Lily Evans Potter,1
Bartemius Crouch Jr.,1
Evelyn Black,1
Severus snape,1
Pennywise (It),1
James Sirius Potter,1
Original Percival Graves,1
Gellert Grindelwald,1
Neville Longbottom,1
Tom Riddle,1
Ron Weasley,1
Sesshomaru,1
Minerva McGonagall,1
Oliver Wood,1
Percy Weasley,1
Fushichou Marco | Phoenix Marco,1
Portgas D. Ace,1
