Master of Death Harry Potter,freq
Harry Potter,746
none,189
Tom Riddle,131
Voldemort,109
Draco Malfoy,58
Hermione Granger,37
Death,31
Tony Stark,27
Severus Snape,23
Ron Weasley,23
Loki ,19
Luna Lovegood,18
Sirius Black,18
James Potter,13
Ginny Weasley,13
Lily Evans Potter,12
Albus Dumbledore,11
George Weasley,9
Original Female Character,9
Gellert Grindelwald,9
Fred Weasley,8
Remus Lupin,8
James Bucky Barnes,8
Loki,7
Steve Rogers,7
Jasper Hale,7
Stiles Stilinski,6
Regulus Black,6
Original Male Character,6
Edward Cullen,6
Peter Hale,5
Blaise Zabini,5
Other Relationship Tags to Be Added,5
Daphne Greengrass,5
Nico di Angelo,5
Peter Parker,5
Teddy Lupin,5
Jon Snow,5
Uchiha Itachi,5
Cor Leonis,5
Phil Coulson,5
Newt Scamander,5
Reborn (Katekyou Hitman Reborn!),4
OMC,4
Legolas Greenleaf,4
Cedric Diggory,4
Original Character,4
Nymphadora Tonks,3
Daryl Dixon,3
Damian Wayne,3
Thor ,3
Orion Black,3
Yagami Light,3
Bellatrix Black Lestrange,3
No Romantic Relationship,3
Lucius Malfoy,3
Dean Winchester,3
Klaus Mikaelson,3
Original Percival Graves,3
Sam Winchester,3
Petunia Evans Dursley,3
Vernon Dursley,3
Damon Salvatore,3
Charlie Weasley,3
Derek Hale,3
Undecided,3
Ra&#39;s al Ghul,3
Clint Barton,3
Merlin (Merlin),3
harry,2
Shirohige | Whitebeard | Edward Newgate,2
Minor or Background Relationship,2
harry potter,2
?,2
Pansy Parkinson,2
Theodore Nott,2
Jax Teller,2
Astoria Greengrass,2
Merle Dixon,2
Natasha Romanov ,2
Lucifer (Supernatural),2
Monkey D. Luffy,2
Narcissa Black Malfoy,2
Uchiha Obito,2
Neville Longbottom,2
Avengers Team,2
Jack Harkness,2
Female Harry Potter,2
Pepper Potts,2
Female Dovahkiin | Dragonborn,2
Magnus Bane,2
Geralt z Rivii | Geralt of Rivia,2
Will Graham,2
Ciel Phantomhive,2
Robb Stark,2
Reborn,2
Wade Wilson,2
None,2
Namikaze Minato,2
Glorfindel (Tolkien),2
Elia Martell,2
