Post - War,freq
Draco Malfoy,1185
Harry Potter,1058
Hermione Granger,1034
Severus Snape,297
Ginny Weasley,212
none,126
Ron Weasley,120
Remus Lupin,68
Luna Lovegood,63
Original Female Character,60
Pansy Parkinson,59
Sirius Black,57
George Weasley,56
Neville Longbottom,52
Theodore Nott,42
Lucius Malfoy,41
Charlie Weasley,39
Narcissa Black Malfoy,38
Blaise Zabini,35
Percy Weasley,28
Nymphadora Tonks,27
Fred Weasley,26
Fleur Delacour,25
Bellatrix Black Lestrange,23
Reader,22
Oliver Wood,22
Astoria Greengrass,20
Lavender Brown,13
Bill Weasley,12
Andromeda Black Tonks,12
Daphne Greengrass,11
Voldemort,11
James Potter,10
Minerva McGonagall,10
Marcus Flint,10
Padma Patil,8
Lily Evans Potter,8
Cho Chang,8
Parvati Patil,8
Tom Riddle,8
Original Character,7
Hannah Abbott,6
Viktor Krum,6
Antonin Dolohov,5
Audrey Weasley,5
Angelina Johnson,5
Kingsley Shacklebolt,5
Arthur Weasley,5
Molly Weasley,5
Dean Thomas,4
Seamus Finnigan,4
Albus Dumbledore,4
Cormac McLaggen,4
Teddy Lupin,3
Dudley Dursley,3
Original Male Character,3
Gilderoy Lockhart,3
Dean Winchester,3
Fenrir Greyback,3
Gregory Goyle,3
Lee Jordan,3
Gabrielle Delacour,3
Thorfinn Rowle,3
Other,2
Minor or Background Relationship,2
Sybill Trelawney,2
Mary Macdonald,2
Jacob Black,2
Katie Bell,2
Justin Finch - Fletchley,2
Paul Lahote,2
Tony Stark,2
Romilda Vane,2
Hermione,2
Irwin Scamander,2
Edward Elric,2
Tracey Davis,2
Newt Scamander,2
Tina Goldstein,2
Rolf Scamander,2
Hermine Granger,1
Derek Morgan,1
Nigel Wolpert,1
Sally - Anne Perks,1
Severus,1
Renesmee Cullen,1
Rubeus Hagrid,1
Orion Black,1
Susan Bones,1
Alicia Spinnet,1
Cedric Diggory,1
Ginny Weasley(brief),1
Abraxas Malfoy,1
Eric Northman,1
No Romantic Relationship,1
Millicent Bulstrode,1
(mentioned) (past) Hermione Granger,1
The Wizarding World,1
Draco,1
Morag MacDougal,1
Nico di Angelo,1
