Good Slytherins,freq
Harry Potter,16
Draco Malfoy,16
Hermione Granger,12
Original Female Character,6
Severus Snape,5
Tom Riddle,4
Bellatrix Black Lestrange,3
Original Male Character,2
Remus Lupin,2
Voldemort,2
Past Lily Evens Potter,1
Theodore Nott,1
Fenrir Greyback,1
Luna Lovegood,1
Sirius Black,1
Reader,1
Neville Longbottom,1
Pansy Parkinson,1
Fred Weasley,1
Fleur Delacour,1
Andromeda Black Tonks,1
Ted Tonks,1
Other Relationship Tags to Be Added,1
Ginny Weasley,1
Reader x snape,1
Teddy Lupin,1
Victoire Weasley,1
Kylo Ren,1
Rey,1
Wayne Hopkins,1
Student,1
student - Relationship,1
none,1
James Potter,1
Lily Evans Potter,1
OFC,1
Marcus Flint,1
