Bottom Draco Malfoy,freq
Draco Malfoy,679
Harry Potter,609
Severus Snape,14
Ron Weasley,12
Lucius Malfoy,9
Voldemort,8
Neville Longbottom,8
Other,5
Original Female Character,5
Tom Riddle,5
Charlie Weasley,5
Hermione Granger,4
James Potter,3
Fred Weasley,3
Asami Ryuichi,3
Cedric Diggory,2
Original Male Character,2
George Weasley,2
Apple,2
Fenrir Greyback,2
Gregory Goyle,2
Jacob Black,2
Ginny Weasley,2
none,2
Blaise Zabini,2
Albus Severus Potter,2
Evelyn Readerng,1
Peter Pettigrew,1
Theodore Nott,1
omc,1
Past Lily Evens Potter,1
Bellatrix Black Lestrange,1
Dean Thomas,1
Thomas Brodie - Sangster,1
Remus Lupin,1
Sung Jin - Woo,1
Luna Lovegood,1
Marcus Flint,1
Jon Snow,1
Viktor Krum,1
Scorpius Malfoy,1
Draco Malfoy(main),1
Narcissa Black Malfoy,1
Edward Cullen,1
Sirius Black,1
Sexuales,1
Reader,1
