Plot What Plot/Porn Without Plot,freq
Harry Potter,595
Draco Malfoy,568
Hermione Granger,408
Severus Snape,172
Sirius Black,132
Remus Lupin,106
Lucius Malfoy,78
Ginny Weasley,61
Ron Weasley,56
Reader,51
Pansy Parkinson,37
Voldemort,33
Theodore Nott,31
Tom Riddle,27
George Weasley,26
Albus Dumbledore,26
Narcissa Black Malfoy,25
Blaise Zabini,24
Charlie Weasley,23
Fred Weasley,22
Gellert Grindelwald,22
Neville Longbottom,21
Newt Scamander,21
Scorpius Malfoy,20
Theseus Scamander,20
James Potter,19
Original Female Character,19
Bellatrix Black Lestrange,19
Original Percival Graves,18
Albus Severus Potter,16
Leta Lestrange,15
Fleur Delacour,14
Luna Lovegood,13
Cormac McLaggen,13
none,13
James Sirius Potter,11
Viktor Krum,10
Bill Weasley,10
Teddy Lupin,10
Lily Evans Potter,9
Lily Luna Potter,9
Lavender Brown,9
Oliver Wood,9
Credence Barebone,9
Fenrir Greyback,9
Original Male Character,8
Percy Weasley,7
Nymphadora Tonks,7
Daphne Greengrass,7
Aurora Sinistra,7
Marcus Flint,7
Dean Thomas,6
Peter Pettigrew,6
Cedric Diggory,6
Seamus Finnigan,6
Rose Weasley,5
Molly Weasley,5
Parvati Patil,5
Queenie Goldstein,5
Angelina Johnson,4
Regulus Black,4
Susan Bones,4
Tina Goldstein,4
Horace Slughorn,4
Abernathy,4
Minerva McGonagall,3
Original Character,3
Argus Filch,3
Arthur Weasley,3
Evelyn Black,3
Rubeus Hagrid,3
Gregory Goyle,3
Dominique Weasley,3
Chiara Lobosca,2
Hannah Abbott,2
Severus snape,2
Adrian Pucey,2
Astoria Greengrass,2
Alicia Spinnet,2
Jack Sparrow,2
Dean Winchester,2
Padma Patil,2
Antonin Dolohov,2
Desmond Miles,2
Percival Graves | Gellert Grindelwald,2
Katie Bell,2
Colin Creevey,2
Vinda Rosier,2
Plant,2
Tony Stark,2
Bartemius Crouch Jr.,2
Victoire Weasley,2
Finn O&#39;Hara,1
Leo Knut,1
Logan Tremblay (lumosinlove),1
Graham Montague,1
Harry Hart | Galahad,1
Hermione - Relationship,1
Anakin Skywalker,1
Frank Zhang,1
Percy Jackson,1
