Drama,freq
Hermione Granger,120
Draco Malfoy,117
Harry Potter,114
Severus Snape,59
Original Female Character,21
Sirius Black,16
Lucius Malfoy,16
Tom Riddle,13
Voldemort,12
Remus Lupin,10
none,9
Bellatrix Black Lestrange,7
Pansy Parkinson,6
Lily Evans Potter,6
Scorpius Malfoy,6
Narcissa Black Malfoy,5
Lily Luna Potter,5
Gellert Grindelwald,5
Ron Weasley,4
Neville Longbottom,4
Dominique Weasley,4
James Potter,4
Teddy Lupin,4
Fred Weasley,3
Jean - Claude (Anita Blake),3
Charlie Weasley,3
Theodore Nott,3
George Weasley,3
Thorfinn Rowle,3
Fenrir Greyback,3
Original Male Character,3
Albus Dumbledore,3
Edward (Anita Blake),2
Micah Callahan,2
Astoria Greengrass,2
Ginny Weasley,2
Percy Weasley,2
Bill Weasley,2
Luna Lovegood,2
Credence Barebone,2
Marcus Flint,2
Oliver Wood,2
Flora Carrow,2
Fleur Delacour,2
Albus Severus Potter,2
Peter Griffin,1
Sans,1
Asami Ryuichi,1
Bellamy Blake,1
Millie,1
Moxxie (Helluva Boss),1
Reader,1
Severus Snape x Reader,1
Colin Farrell,1
Ezra Miller,1
James Bucky Barnes,1
Audrey Weasley,1
Augustus Rookwood,1
TK Strand,1
Hugo Weasley,1
Rodolphus Lestrange,1
Rita Skeeter,1
Victoire Weasley,1
Logan Delos,1
ginny weasley,1
wade winston wilson (deadpool),1
Abernathy,1
Eleonora Severin,1
Greyback,1
Nymphadora Tonks,1
John Watson,1
Sherlock Holmes,1
Susan Bones,1
Roger Davies,1
Geralt z Rivii | Geralt of Rivia,1
Jason Schuyler,1
Edward Cullen,1
Anakin Skywalker,1
Obi - Wan Kenobi,1
Jaina Proudmoore,1
Sylvanas Windrunner,1
Peter Pettigrew,1
who is she?,1
Angus MacGyver (MacGyver TV 2016),1
Draco Malfoy - Relationship,1
Blaise Zabini,1
Igor Karkarov,1
Multiple - Relationship,1
Gannicus (Spartacus),1
Merula Snyde,1
Player Character,1
Frodo Baggins,1
Glorfindel,1
Millicent Bulstrode,1
Marcus Fletcher,1
Armitage Hux,1
War,1
Jethro Gibbs,1
Cedric Diggory,1
Edward,1
Jean - Claude,1
