Good Severus Snape,freq
Severus Snape,398
Harry Potter,331
Hermione Granger,95
Draco Malfoy,94
none,75
Original Female Character,46
Lily Evans Potter,43
Remus Lupin,42
James Potter,39
Sirius Black,38
Lucius Malfoy,27
Tom Riddle,25
Voldemort,20
Original Male Character,13
Regulus Black,11
Luna Lovegood,11
Narcissa Black Malfoy,10
Petunia Evans Dursley,9
Minerva McGonagall,9
Ron Weasley,9
Reader,9
Blaise Zabini,8
Ginny Weasley,8
Fred Weasley,7
Albus Dumbledore,7
George Weasley,6
Other Relationship Tags to Be Added,6
Other,5
Vernon Dursley,5
Original Character,5
Lily Evans,5
Eileen Prince,4
Salazar Slytherin,4
Harem,4
Peter Pettigrew,3
Tony Stark,3
Anakin Skywalker,3
Chiba Mamoru,3
Tsukino Usagi,3
Loki ,3
Rabastan Lestrange,2
Neville Longbottom,2
none yet,2
Evan Rosier,2
Bill Weasley,2
Theodore Nott,2
Charlie Weasley,2
Marcus Flint,2
Canon Relationship,2
Rodolphus Lestrange,2
Cedric Diggory,2
Caspian (Narnia),1
Ootori Kyoya,1
Past Lily Evens Potter,1
Class 1 - A (My Hero Academia),1
Padmé Amidala,1
Relationships TBA,1
Tags will be added as they appear - Relationship,1
Howard Stark,1
Maria Stark,1
Lee Jordan,1
Steve Rogers,1
Grail Ashford,1
Fenrir Greyback,1
Cho Chang,1
Lucifer (Supernatural),1
Snape,1
Percy Weasley,1
Snarry - Relationship,1
Past James Potter,1
Harry Potter (mentioned),1
Poppy Pomfrey,1
Draco Malfoy (in later stories),1
Lucy Heartfilia,1
Natsu Dragneel,1
Arthas Menethil,1
Draco Malfoy X Original Character,1
Severus Snape (One sided),1
Grant Ward,1
Willow Rosenberg,1
Dolores Umbridge,1
Frank Castle,1
Nymphadora Tonks,1
Pre Draco Malfoy,1
Corban Yaxley,1
Cornelius Fudge,1
Millicent Bulstrode,1
Arthur Weasley,1
Molly Weasley,1
Artemis Blackmoore,1
Orion Silver,1
Shihouin Yoruichi,1
Urahara Kisuke,1
Hannibal Lecter,1
Will Graham,1
Jacob Kowalski,1
Queenie Goldstein,1
Tobias Snape,1
OMC,1
James,1
Lily,1
