Friends to Lovers,freq
Harry Potter,171
Hermione Granger,169
Draco Malfoy,149
Sirius Black,64
Remus Lupin,54
Severus Snape,35
Original Female Character,26
Ron Weasley,23
Fred Weasley,17
James Potter,16
Scorpius Malfoy,15
Charlie Weasley,14
Reader,14
Neville Longbottom,13
Theodore Nott,12
George Weasley,11
Albus Severus Potter,10
Lily Evans Potter,9
Teddy Lupin,9
James Sirius Potter,9
Pansy Parkinson,8
Nymphadora Tonks,7
Seamus Finnigan,7
Tom Riddle,6
Ginny Weasley,6
Dean Thomas,6
Original Character,5
Blaise Zabini,5
Bill Weasley,4
Lavender Brown,4
Bellatrix Black Lestrange,3
Lucius Malfoy,3
Victoire Weasley,3
Lily Luna Potter,3
Viktor Krum,3
Parvati Patil,3
Narcissa Black Malfoy,3
Susan Bones,3
Cormac McLaggen,3
Original Male Character,2
Helena Ravenclaw,2
Albus Dumbledore,2
Gellert Grindelwald,2
Jeon Jungkook,2
Padma Patil,2
Fleur Delacour,2
Peter Pettigrew,1
Andromeda Black Tonks,1
Adrian Pucey,1
Rolf Scamander,1
Portrait Severus Snape,1
Harry Styles,1
Louis Tomlinson,1
oc,1
theo nott,1
Celeste Dumais,1
Pascal Dumais,1
The Bloody Baron,1
Ernie Macmillan,1
Justin Finch - Fletchley,1
OMC,1
Daphne Greengrass,1
Natasha Romanov ,1
Noah Puckerman,1
Draco,1
Park Jimin,1
Player Character (Hogwarts Mystery),1
Alice Longbottom,1
Other,1
Credence Barebone,1
Original Percival Graves,1
Castiel,1
Dean Winchester,1
Mrs Zabini,1
Albus Severus Potter - Weasley,1
James Sirius Potter - Weasley,1
Kingsley Shacklebolt,1
Rose Weasley,1
Alicia Spinnet,1
Marcus Flint,1
wolfstar - Relationship,1
Molly Weasley,1
Shuri ,1
Dominique Weasley,1
Astoria Greengrass,1
Derek Hale,1
Stiles Stilinski,1
Female Sole Survivor,1
Piper Wright,1
