Eventual Smut,freq
Draco Malfoy,455
Hermione Granger,412
Harry Potter,312
Original Female Character,191
Severus Snape,145
Reader,109
Sirius Black,101
Remus Lupin,91
Tom Riddle,81
Fred Weasley,42
James Potter,38
George Weasley,37
Lily Evans Potter,32
Voldemort,30
Bellatrix Black Lestrange,22
Ginny Weasley,18
Ron Weasley,16
Charlie Weasley,16
Lucius Malfoy,15
none,14
Scorpius Malfoy,14
Original Male Character,13
Theodore Nott,12
Original Character,12
Newt Scamander,12
Neville Longbottom,11
Pansy Parkinson,10
Regulus Black,10
Original Percival Graves,9
Cedric Diggory,8
Tina Goldstein,8
Rose Weasley,7
Albus Severus Potter,7
Fleur Delacour,7
Credence Barebone,6
Bill Weasley,5
Blaise Zabini,4
Rey,4
Luna Lovegood,4
Other,3
Kylo Ren,3
Gellert Grindelwald,3
Nymphadora Tonks,3
Loki ,3
Albus Dumbledore,3
Steve Rogers,3
Dean Thomas,3
Astoria Greengrass,3
Jeon Jungkook,3
Oliver Wood,3
Daphne Greengrass,3
Theseus Scamander,3
Peter Pettigrew,2
Rabastan Lestrange,2
Antonin Dolohov,2
Harry Styles,2
Louis Tomlinson,2
Dorcas Meadowes,2
James Bucky Barnes,2
Percy Weasley,2
James Sirius Potter,2
Teddy Lupin,2
OMC,2
Seamus Finnigan,2
Parvati Patil,2
Minerva McGonagall,2
Player Character (Hogwarts Mystery),2
Anakin Skywalker,2
Viktor Krum,2
Clint Barton,2
Ben Solo,2
dramione,2
Andromeda Black Tonks,1
Reader?,1
L,1
Past Lily Evens Potter,1
Orion Amari,1
Aziraphale,1
Crowley ,1
Fred Weasley - Relationship,1
Prince Charmont (Ella Enchanted),1
enemies to lovers - Relationship,1
Hasegawa Langa,1
Kyan Reki,1
Marlene McKinnon,1
Miya Atsumu,1
Miya Osamu,1
Optimus Prime,1
Sam Witwicky,1
Deidara,1
Sasori (Naruto),1
Orion Black,1
Amelia Bones,1
Jean - Claude (Anita Blake),1
Mary Macdonald,1
Granger - Weasley,1
Malfoy,1
Adam,1
Alicia Spinnet,1
Betty Cooper,1
Jughead Jones,1
