Friendship/Love,freq
Hermione Granger,160
Remus Lupin,127
Sirius Black,126
Harry Potter,125
Draco Malfoy,106
Original Female Character,59
Severus Snape,47
Ron Weasley,45
Reader,41
Lily Evans Potter,38
James Potter,38
none,30
Scorpius Malfoy,24
Luna Lovegood,23
Tom Riddle,21
Fred Weasley,21
Original Character,18
Ginny Weasley,16
Albus Severus Potter,16
Neville Longbottom,14
Theodore Nott,13
Albus Dumbledore,11
Rose Weasley,10
Nymphadora Tonks,9
George Weasley,9
Oliver Wood,8
Charlie Weasley,8
Minerva McGonagall,8
Original Male Character,8
Gellert Grindelwald,8
Pansy Parkinson,7
Blaise Zabini,7
Teddy Lupin,7
Percy Weasley,7
Regulus Black,6
Victoire Weasley,5
James Sirius Potter,5
Daphne Greengrass,5
Narcissa Black Malfoy,5
Dean Thomas,5
Astoria Greengrass,5
Bill Weasley,4
Cedric Diggory,4
Lee Jordan,4
Marlene McKinnon,4
Peter Pettigrew,4
Fleur Delacour,4
Dominique Weasley,4
Newt Scamander,4
Lavender Brown,4
Player Character,3
Marcus Flint,3
Dorcas Meadowes,3
Bellatrix Black Lestrange,3
Seamus Finnigan,3
Lily Luna Potter,3
Penny Haywood,3
Talbott Winger,2
Andromeda Black Tonks,2
Uchiha Obito,2
Credence Barebone,2
Nagini,2
Voldemort,2
Delphi,2
Lucius Malfoy,2
Helga Hufflepuff,2
Salazar Slytherin,2
Viktor Krum,2
Otabek Altin,2
Yuri Plisetsky,2
Tina Goldstein,2
Eddie Kaspbrak,2
Richie Tozier,2
Leo Wyatt,1
Piper Halliwell,1
Rose Holmes,1
Orion Amari,1
Kuroba Kaito | Kaitou Kid,1
Nakamori Aoko,1
Derik,1
Gall,1
Harry Hart | Galahad,1
EmmaWinter,1
Logan,1
Terry Boot,1
Daisy Potter,1
Kylie Ford,1
Jude Law,1
Gryffindor Student,1
Slytherin Student,1
Edward Nygma,1
Oswald Cobblepot,1
Midoriya Izuku,1
Uraraka Ochako,1
Original Male Character - Relationship,1
Audrey Weasley,1
Sugawara Koushi,1
George,1
OMC,1
Caelum Lestrange,1
Harriet Potter | Rigel Black,1
