Friendship/Love,freq
Hermione Granger,17
Harry Potter,13
Remus Lupin,10
Sirius Black,9
Draco Malfoy,9
Severus Snape,7
Original Female Character,6
Lily Evans Potter,4
Theodore Nott,3
Ron Weasley,2
Charlie Weasley,2
none,2
Fred Weasley,2
Delphi,2
Scorpius Malfoy,2
Nymphadora Tonks,1
Harry Hart | Galahad,1
James Potter,1
Pansy Parkinson,1
Neville Longbottom,1
daenerys targaryen,1
dorian havilliard,1
Dean Thomas,1
Seamus Finnigan,1
Gladio | Gladion,1
Loki ,1
Ginny Weasley,1
Thorfinn Rowle,1
Lily Luna Potter,1
Regulus Black,1
Albus Severus Potter,1
Blaise Zabini,1
Lavender Brown,1
