Torture,freq
Harry Potter,278
Hermione Granger,184
Draco Malfoy,177
Severus Snape,94
none,72
Voldemort,71
Tom Riddle,64
Original Female Character,56
Remus Lupin,40
Sirius Black,39
Bellatrix Black Lestrange,34
Lucius Malfoy,25
Ginny Weasley,22
James Potter,20
Original Percival Graves,18
Lily Evans Potter,18
Ron Weasley,17
Gellert Grindelwald,14
Reader,14
Narcissa Black Malfoy,14
Regulus Black,10
Original Character,9
Nymphadora Tonks,9
Fred Weasley,9
Original Male Character,8
Blaise Zabini,7
Newt Scamander,7
Luna Lovegood,7
Daphne Greengrass,5
George Weasley,5
Pansy Parkinson,5
Theodore Nott,4
Antonin Dolohov,4
Cedric Diggory,4
Minerva McGonagall,4
Albus Severus Potter,4
Scorpius Malfoy,4
Arthur Weasley,3
Rodolphus Lestrange,3
No Romantic Relationship,3
Albus Dumbledore,3
Neville Longbottom,3
Alice Longbottom,3
Frank Longbottom,3
Fenrir Greyback,3
Percy Weasley,2
Fleamont Potter,2
Other Relationship Tags to Be Added,2
Annabeth Chase,2
Percy Jackson,2
Lavender Brown,2
Peter Pettigrew,2
Delphi,2
Credence Barebone,2
Loki ,2
Petunia Evans Dursley,2
Vernon Dursley,2
Tracey Davis,2
Bruce Wayne,2
Joker (DCU),2
Edward Elric,2
Rabastan Lestrange,2
Andromeda Black Tonks,2
Emma Swan,2
Evil Queen | Regina Mills,2
Bucky Barnes,2
Seamus Finnigan,2
Charlie Weasley,2
Thorfinn Rowle,2
Bartemius Crouch Jr.,2
dracomalfoy,1
vanessasnape,1
Molly Weasley,1
Weasley Family,1
Prince Charmont (Ella Enchanted),1
Power,1
Sirius Black II,1
Steve Rogers,1
Euphemia Potter,1
Viktor Krum,1
Gomez Addams,1
Morticia Addams,1
Harry Hook,1
Nikita Romanov,1
Death,1
Ramsay Bolton,1
James Sirius Potter,1
Uzumaki Naruto,1
Augustus Rookwood,1
Catherine Carter,1
Henry Carter,1
Natasha Romanov ,1
Krista Lenz | Historia Reiss,1
Ymir,1
Fleur Delacour,1
Rolanda Hooch,1
Uchiha Obito,1
Frodo Baggins,1
Parker Dooley | Maranguan (OMC Dragonoid),1
SSHG,1
Frank Castle,1
