Alternate Universe - Harry Potter Setting,freq
Harry Potter,279
Draco Malfoy,217
none,185
Hermione Granger,147
Original Female Character,94
Severus Snape,65
Sirius Black,59
Remus Lupin,53
Lily Evans Potter,40
Tom Riddle,39
Reader,39
James Potter,36
Rey,33
Ginny Weasley,31
Kylo Ren,30
Voldemort,22
Fred Weasley,20
Jeon Jungkook,18
Original Character,17
Ron Weasley,17
Kim Taehyung | V,16
Tony Stark,14
Aziraphale,13
Crowley ,13
Luna Lovegood,12
Cedric Diggory,12
Keith,11
John Watson,10
Sherlock Holmes,10
Lance (Voltron),9
George Weasley,9
Park Jimin,9
Original Male Character,8
Pansy Parkinson,8
Oikawa Tooru,7
Oliver Wood,7
Min Yoongi | Suga,7
Kim Readerngwoon | Kangin,7
Park Jungsoo | Leeteuk,7
Neville Longbottom,6
Charlie Weasley,6
Iwaizumi Hajime,6
Castiel,6
Dean Winchester,6
Steve Rogers,6
Regulus Black,5
Merlin,5
Marcus Flint,5
Other,5
Bokuto Koutarou,5
Mycroft Holmes,5
Lucius Malfoy,5
Peter Parker,5
Adrien Agreste | Chat Noir,5
Marinette Dupain - Cheng | Ladybug,5
Bellatrix Black Lestrange,5
Nymphadora Tonks,5
Ben Solo,5
Eddie Kaspbrak,5
Richie Tozier,5
Lán Zhàn | Lán Wàngjī,5
Wèi Yīng | Wèi Wúxiàn,5
Kim Seokjin | Jin,5
Arthur Pendragon (Merlin),4
Bakugou Katsuki,4
Akaashi Keiji,4
Greg Lestrade,4
Scorpius Malfoy,4
Bill Weasley,4
Petunia Evans Dursley,4
Clay | Dream,4
Loki,4
Kara Danvers,4
Lena Luthor,4
Gellert Grindelwald,4
Luò Bīnghé,4
Shěn Yuán | Shěn Qīngqiū,4
Arya Stark,4
Jung Hoseok | J - Hope,4
Kim Namjoon | RM,4
Alec Lightwood,3
Magnus Bane,3
Arthur Curry,3
Loki ,3
Viktor Krum,3
Harry Styles,3
Midoriya Izuku,3
Miya Atsumu,3
Blaise Zabini,3
Bartemius Crouch Jr.,3
Daphne Greengrass,3
Narcissa Black Malfoy,3
Sugawara Koushi,3
Sokka,3
Zuko (Avatar),3
Vernon Dursley,3
Stiles Stilinski,3
Tsukishima Kei,3
Hannibal Lecter,3
Will Graham,3
Katsuki Yuuri,3
