Anal Fingering,freq
Harry Potter,655
Draco Malfoy,491
Sirius Black,114
Severus Snape,107
Remus Lupin,98
Hermione Granger,93
Ron Weasley,33
Scorpius Malfoy,29
Albus Severus Potter,29
Lucius Malfoy,26
Voldemort,23
Original Percival Graves,23
James Sirius Potter,22
Teddy Lupin,21
Tom Riddle,19
Ginny Weasley,15
Theodore Nott,15
Neville Longbottom,15
Gellert Grindelwald,14
Albus Dumbledore,14
Credence Barebone,13
George Weasley,11
Original Male Character,10
Fred Weasley,10
Oliver Wood,10
James Potter,10
Newt Scamander,9
Charlie Weasley,8
Pansy Parkinson,8
Blaise Zabini,8
Marcus Flint,7
Original Female Character,7
Reader,7
Arthur Weasley,7
Tony Stark,5
Dean Thomas,5
Narcissa Black Malfoy,5
Daphne Greengrass,4
Viktor Krum,4
Bellatrix Black Lestrange,4
Cedric Diggory,3
Prince Charmont (Ella Enchanted),3
Rubeus Hagrid,3
Parvati Patil,3
Nymphadora Tonks,3
Percy Weasley,3
Lily Evans Potter,3
Cormac McLaggen,3
Seamus Finnigan,3
Dudley Dursley,3
Luna Lovegood,3
Theseus Scamander,3
Scorpius,3
Teddy,3
none,3
Angelina Johnson,2
Colin Creevey,2
Regulus Black,2
Eren Yeager,2
Other,2
Lavender Brown,2
Albus,2
James,2
Astoria Greengrass,2
James Bucky Barnes,2
John Watson,2
Sherlock Holmes,2
Dobby,2
Desmond Miles,2
Fleur Delacour,2
Spike (BtVS),1
Hannibal Lecter,1
Will Graham,1
L,1
Johann Struensee,1
Apple,1
Mrs Zabini,1
Edward Cullen,1
Loki ,1
Caspian Wood,1
Dallas Fox,1
Wyatt Snow,1
Miya Atsumu,1
Miya Osamu,1
Frank Zhang,1
Percy Jackson,1
Peter Hale,1
Bill Weasley,1
Peeves,1
Jasper Hale,1
Orion Black,1
Levi Ackerman,1
Kaecilius,1
Bakugou Katsuki,1
Midoriya Izuku,1
Hannah Abbott,1
Seraphina Picquery,1
O&#39;Knutzylus,1
Jae Kim,1
Player Character (Hogwarts Mystery),1
Ask Me,1
