Canon - Typical Violence,freq
Harry Potter,45
Draco Malfoy,33
Hermione Granger,29
Severus Snape,10
Remus Lupin,6
Sirius Black,6
Credence Barebone,6
Original Percival Graves,6
Original Female Character,4
Regulus Black,3
Lucius Malfoy,3
Aster Potter,3
Reader,3
Hannibal Lecter,3
Will Graham,3
James Potter,3
Ron Weasley,3
none,3
Narcissa Black Malfoy,3
Lily Evans Potter,2
Voldemort,2
Other Relationship Tags to Be Added,2
Charlie Weasley,2
Neville Longbottom,2
Fred Weasley,2
Daryl Dixon,2
Bellatrix Black Lestrange,2
Viktor Krum,2
Cedric Diggory,2
Tom Riddle,2
Andrew Minyard,1
Neil Josten,1
Bellamy Blake,1
Arthur Morgan,1
Derek Hale,1
Stiles Stilinski,1
Bill Weasley,1
Gomez Addams,1
Morticia Addams,1
Richard B. Riddick,1
Catherine Carter,1
Henry Carter,1
Ianto Jones,1
Jack Harkness,1
Eren Yeager,1
Levi Ackerman,1
Pansy Parkinson,1
Garrus Vakarian,1
Benjen Stark,1
Rhaenys Targaryen,1
Hatake Kakashi,1
Fleur Delacour,1
Pennywise (It),1
George Weasley,1
Other,1
Jax Teller,1
Thomas Teller I,1
Tony Stark,1
Albus Dumbledore,1
Gellert Grindelwald,1
Edie Eisenhardt,1
Jakob Eisenhardt,1
Peter Parker,1
Wade Wilson,1
Brian Kinney,1
Justin Taylor (Queer as Folk),1
Jean - Claude (Anita Blake),1
Ginny Weasley,1
Luna Lovegood,1
Leliana Evan - Black (Aster Potter),1
Oliver Queen,1
Jacob Frye,1
Alexios,1
John Sheppard,1
Rodney McKay,1
Ronon Dex,1
Dudley Dursley,1
Mycroft Holmes,1
Sherlock Holmes,1
Connor (AtS),1
Dawn Summers,1
Nymphadora Tonks,1
Rhaegar Targaryen,1
Steve McGarrett,1
Fushichou Marco | Phoenix Marco,1
Portgas D. Ace,1
