Dont copy to another site,freq
Harry Potter,124
Draco Malfoy,85
Severus Snape,18
Hermione Granger,14
Tom Riddle,14
Sirius Black,12
Voldemort,9
Albus Dumbledore,7
Remus Lupin,7
Original Percival Graves,6
Fred Weasley,5
George Weasley,5
none,4
Gellert Grindelwald,4
James Potter,4
Newt Scamander,4
Scorpius Malfoy,3
Abernathy,3
Gilderoy Lockhart,3
James Sirius Potter,2
Torquil Travers,2
Bellatrix Black Lestrange,2
Luna Lovegood,2
Original Female Character,2
Haytham Kenway,2
Gunnar Grimmson,2
Blaise Zabini,1
Dean Thomas,1
Spike (BtVS),1
Tina Goldstein,1
Albus Severus Potter,1
Bill Weasley,1
Teddy Lupin,1
Viserys Targaryen,1
Angel (BtVS),1
Peter Hale,1
Marcus Flint,1
Oliver Wood,1
Jacob Kowalski,1
Original Male Character,1
fem!Jacob Kowalski,1
fem!Newt Scamander,1
Bunty,1
Leta Lestrange,1
Irma Pince,1
Wilhelmina Grubbly - Plank,1
Rabastan Lestrange,1
Tony Stark,1
Lucius Malfoy,1
Godric Gryffindor,1
Salazar Slytherin,1
Cedric Diggory,1
Loki ,1
Abraxas Malfoy,1
War,1
Credence Barebone,1
Undisclosed,1
One - eyed,1
Passkey,1
none whatsoever yet,1
Edward Kenway,1
Orm Marius,1
Shay Cormac,1
Regulus Black,1
Lily Evans Potter,1
Ianto Jones,1
Jack Harkness,1
Hugo Weasley,1
Neville Longbottom,1
Theseus Scamander,1
