Other Additional Tags to Be Added,freq
Harry Potter,799
Draco Malfoy,365
Hermione Granger,227
none,196
Severus Snape,162
Sirius Black,156
Remus Lupin,142
Tom Riddle,132
Original Female Character,100
Voldemort,87
James Potter,67
Lily Evans Potter,59
Ron Weasley,54
Regulus Black,39
Original Male Character,34
Reader,32
Lucius Malfoy,25
Fred Weasley,24
Newt Scamander,24
Ginny Weasley,23
Original Character,21
Other Relationship Tags to Be Added,21
Narcissa Black Malfoy,19
George Weasley,18
Luna Lovegood,18
Blaise Zabini,17
Original Percival Graves,16
Bellatrix Black Lestrange,16
Cedric Diggory,16
Gellert Grindelwald,14
Neville Longbottom,13
Tony Stark,12
Albus Dumbledore,12
Death,11
Charlie Weasley,11
Scorpius Malfoy,10
Albus Severus Potter,10
Arthur Weasley,8
Nymphadora Tonks,8
Fleur Delacour,8
Percy Jackson,8
Petunia Evans Dursley,8
Everyone,8
Daphne Greengrass,7
Loki,7
Tina Goldstein,7
Sherlock Holmes,7
Abraxas Malfoy,6
Theodore Nott,6
?,6
Steve Rogers,6
Loki ,6
Minerva McGonagall,6
Susan Bones,6
Nico di Angelo,6
No Romantic Relationship,6
Edward Elric,6
Credence Barebone,6
Stiles Stilinski,5
Andromeda Black Tonks,5
James Bucky Barnes,5
Molly Weasley,5
Aziraphale,5
Crowley ,5
Pansy Parkinson,5
Astoria Greengrass,5
Vernon Dursley,5
Will Solace,5
John Watson,5
Percy Weasley,5
Peter Hale,4
Marcus Flint,4
Bartemius Crouch Jr.,4
Undecided,4
Peter Parker,4
Winry Rockbell,4
Midoriya Izuku,4
Player Character,4
Teddy Lupin,4
Edward Cullen,4
Theseus Scamander,4
Queenie Goldstein,4
James Sirius Potter,4
Spencer Reid,3
Weasley Family,3
Oliver Wood,3
Kylo Ren,3
Female Harry Potter,3
Lore),3
Annabeth Chase,3
Gomez Addams,3
Morticia Addams,3
Other,3
Fenrir Greyback,3
Todoroki Shouto,3
Bill Weasley,3
Jeon Jungkook,3
Klaus Mikaelson,3
Dean Thomas,3
Seamus Finnigan,3
Godric Gryffindor,3
