Quidditch,freq
Harry Potter,290
Draco Malfoy,246
Original Female Character,125
Oliver Wood,121
Hermione Granger,108
none,93
Ginny Weasley,88
Sirius Black,79
James Potter,74
Reader,60
Remus Lupin,58
Lily Evans Potter,52
Marcus Flint,47
Percy Weasley,36
Ron Weasley,35
Fred Weasley,33
Severus Snape,32
George Weasley,24
Scorpius Malfoy,23
Tom Riddle,19
Regulus Black,18
Charlie Weasley,18
James Sirius Potter,17
Luna Lovegood,17
Blaise Zabini,14
Rose Weasley,13
Cedric Diggory,13
Albus Severus Potter,12
Katie Bell,12
Viktor Krum,11
Original Male Character,10
Rey,10
Teddy Lupin,10
Player Character,9
Original Character,9
Pansy Parkinson,9
Minerva McGonagall,8
Lucius Malfoy,8
Kylo Ren,7
Cho Chang,7
Voldemort,6
Dean Winchester,6
Sherlock Holmes,6
Daphne Greengrass,5
Marlene McKinnon,5
Castiel,5
Theodore Nott,5
Skye Parkin,5
Cormac McLaggen,5
John Watson,5
Angelina Johnson,5
Aziraphale,4
Crowley ,4
Kim Taehyung | V,4
Arthur Weasley,4
Alicia Spinnet,4
Jeon Jungkook,4
Albus Dumbledore,4
Peter Pettigrew,4
Terence Higgs,4
Petunia Evans Dursley,4
Orion Amari,3
Hinata Shouyou,3
Stiles Stilinski,3
Neville Longbottom,3
Rolanda Hooch,3
Tsukishima Kei,3
James Bucky Barnes,3
Draco,3
Lily Luna Potter,3
Minor or Background Relationship,3
Ben Solo,3
Lavender Brown,3
Murphy McNully,3
Bill Weasley,3
Dean Thomas,3
Shinazugawa Genya,3
Shinazugawa Sanemi,3
Iwaizumi Hajime,2
Oikawa Tooru,2
Park Jimin,2
Molly Weasley,2
Merula Snyde,2
Dorcas Meadowes,2
Kageyama Tobio,2
Colin Creevey,2
Erika Rath,2
Loki,2
Vernon Dursley,2
Derek Hale,2
Arthur Pendragon (Merlin),2
Merlin,2
Yamaguchi Tadashi,2
Keith,2
Roger Davies,2
Eddie Kaspbrak,2
Richie Tozier,2
Astoria Greengrass,2
Andromeda Black Tonks,2
Ted Tonks,2
Player Character (Hogwarts Mystery),2
