Mental Health Issues,freq
Harry Potter,267
Draco Malfoy,265
Hermione Granger,138
Sirius Black,102
Remus Lupin,89
Severus Snape,63
Original Female Character,55
none,52
Tom Riddle,32
Ron Weasley,25
Bellatrix Black Lestrange,22
James Potter,17
Ginny Weasley,16
Voldemort,14
Regulus Black,12
Lily Evans Potter,12
Luna Lovegood,11
Neville Longbottom,11
George Weasley,10
Original Percival Graves,10
Original Male Character,10
Original Character,10
Scorpius Malfoy,9
Lucius Malfoy,7
Credence Barebone,7
Albus Severus Potter,7
Pansy Parkinson,5
Hatake Kakashi,5
Charlie Weasley,4
Cedric Diggory,4
Percy Weasley,4
Narcissa Black Malfoy,4
Reader,4
Fred Weasley,4
Astoria Greengrass,3
Theodore Nott,3
Oliver Wood,3
James Sirius Potter,3
Albus Dumbledore,3
Blaise Zabini,3
Newt Scamander,3
Daphne Greengrass,2
Seamus Finnigan,2
Andromeda Black Tonks,2
Rose Weasley,2
Kreacher,2
Cassandra Burke Goyle (Original Character),2
Bill Weasley,2
Other,2
Lavender Brown,2
Gellert Grindelwald,2
Pandora Lovegood,2
Xenophilius Lovegood,2
Peter Griffin,1
Sans,1
Angelina Johnson,1
Gregory Goyle,1
Kurusu Akira,1
Okumura Haru,1
Original Male Characters,1
Nymphadora Tonks,1
Lan Yuan | Lan Sizhui,1
Eventual Ginny Weasley,1
Alphard Black,1
Euphemia Potter,1
Fleamont Potter,1
It&#39;s a surprise!~,1
Female!harry potter,1
luna lovegood,1
Millicent Bulstrode,1
Viktor Krum,1
Nico di Angelo,1
Will Solace,1
Lee Jordan,1
Derek Hale,1
Stiles Stilinski,1
Frank Zhang,1
Percy Jackson,1
they&#39;re eleven,1
Abraxas Malfoy,1
Connor Murphy,1
Evan Hansen,1
Ted Tonks,1
Alec Lightwood,1
Magnus Bane,1
???,1
Original Male Character - Relationship,1
Godric (True Blood),1
Parvati Patil,1
Lily Evans (mentioned),1
Generation of Miracles,1
Kuroko Tetsuya,1
Emmeline Vance,1
Hope Lupin,1
Lyall Lupin,1
Peter Pettigrew,1
Polaris Malfoy,1
Brahms Heelshire,1
Avengers Team,1
Diary Tom Riddle,1
Jack Sparrow,1
