Explicit Sexual Content,freq
Hermione Granger,906
Draco Malfoy,766
Harry Potter,709
Severus Snape,254
Original Female Character,169
Sirius Black,122
Tom Riddle,107
Remus Lupin,102
Ron Weasley,69
Pansy Parkinson,63
Ginny Weasley,63
Lucius Malfoy,60
Voldemort,39
Charlie Weasley,39
Reader,37
Theodore Nott,35
James Potter,35
Scorpius Malfoy,35
Fred Weasley,34
Neville Longbottom,32
Narcissa Black Malfoy,30
George Weasley,26
Albus Severus Potter,25
Blaise Zabini,24
Lily Evans Potter,24
Luna Lovegood,22
Bellatrix Black Lestrange,22
none,21
Daphne Greengrass,20
Fleur Delacour,19
Teddy Lupin,18
James Sirius Potter,17
Natasha Romanov ,15
Original Percival Graves,15
Original Male Character,13
Regulus Black,12
Original Character,12
Albus Dumbledore,12
Astoria Greengrass,11
Nymphadora Tonks,11
Credence Barebone,11
Newt Scamander,10
Cormac McLaggen,10
Viktor Krum,9
Gellert Grindelwald,9
Percy Weasley,8
Bill Weasley,8
Lily Luna Potter,8
Horace Slughorn,8
Tony Stark,8
Rose Weasley,7
Oliver Wood,7
Thorfinn Rowle,7
Dominique Weasley,7
Angelina Johnson,6
Lavender Brown,6
Seamus Finnigan,6
Fenrir Greyback,6
Dean Winchester,6
Stiles Stilinski,5
Marcus Flint,5
Cedric Diggory,5
Other,4
Andromeda Black Tonks,4
Loki ,4
Rodolphus Lestrange,4
Victoire Weasley,4
Adrian Pucey,4
Wanda Maximoff,4
Parvati Patil,4
Dean Thomas,4
Padma Patil,4
Kingsley Shacklebolt,4
Jean - Claude (Anita Blake),4
Antonin Dolohov,4
Marlene McKinnon,4
Theseus Scamander,4
Peter Hale,3
Player Character (Hogwarts Mystery),3
Jeon Jungkook,3
Colin Creevey,3
Cassandra Burke Goyle (Original Character),3
Petunia Evans Dursley,3
Susan Bones,3
Darcy Lewis,3
Arthur Weasley,3
Molly Weasley,3
Delphi,3
Hannah Abbott,3
Bartemius Crouch Jr.,3
Edward (Anita Blake),3
Micah Callahan,3
Sansa Stark,3
Player Character,3
Barnaby Lee,3
Flora Carrow,2
Ted Tonks,2
Aster Potter,2
Derek Hale,2
Jae Kim,2
Kim Taehyung | V,2
