Oral Sex,freq
Harry Potter,835
Draco Malfoy,650
Hermione Granger,631
Severus Snape,284
Sirius Black,175
Remus Lupin,164
Reader,107
Original Female Character,94
Ginny Weasley,89
Ron Weasley,83
Lucius Malfoy,70
Tom Riddle,59
Pansy Parkinson,57
Fred Weasley,36
Neville Longbottom,36
none,35
Charlie Weasley,34
Narcissa Black Malfoy,31
Voldemort,30
James Potter,30
Lily Evans Potter,29
Luna Lovegood,28
Theodore Nott,26
Daphne Greengrass,25
Original Percival Graves,23
Bellatrix Black Lestrange,23
Nymphadora Tonks,22
George Weasley,22
Fleur Delacour,20
Blaise Zabini,20
James Sirius Potter,19
Original Male Character,19
Albus Dumbledore,15
Scorpius Malfoy,14
Bill Weasley,14
Teddy Lupin,14
Credence Barebone,14
Newt Scamander,13
Viktor Krum,12
Albus Severus Potter,12
Gellert Grindelwald,12
Rose Weasley,11
Regulus Black,10
Original Character,10
Oliver Wood,9
Percy Weasley,9
Cedric Diggory,8
Arthur Weasley,8
Cormac McLaggen,8
Lily Luna Potter,7
Natasha Romanov ,7
Horace Slughorn,7
Player Character,7
Angelina Johnson,6
Edward (Anita Blake),6
Other,6
Marcus Flint,6
Susan Bones,6
Seamus Finnigan,6
Tony Stark,6
Loki ,6
Micah Callahan,5
Player Character (Hogwarts Mystery),5
Colin Creevey,5
Hannah Abbott,5
Molly Weasley,5
Aurora Sinistra,5
Jean - Claude (Anita Blake),4
Thorfinn Rowle,4
Penny Haywood,4
Minerva McGonagall,4
Antonin Dolohov,4
Fenrir Greyback,4
Astoria Greengrass,4
Tina Goldstein,4
Kylo Ren,3
Lavender Brown,3
Marlene McKinnon,3
Sybill Trelawney,3
Chiara Lobosca,3
Petunia Evans Dursley,3
Dean Thomas,3
Padma Patil,3
Dominique Weasley,3
Kingsley Shacklebolt,3
Bartemius Crouch Jr.,3
Theseus Scamander,3
Alicia Spinnet,3
Alastor Moody,3
Albus,3
James,3
Scorpius,3
Teddy,3
Victoire Weasley,3
Kreacher,3
Andromeda Black Tonks,3
Steve Rogers,3
Barnaby Lee,3
Katie Bell,3
Hannibal Lecter,2
Will Graham,2
