Top Harry Potter,freq
Harry Potter,658
Draco Malfoy,442
Severus Snape,117
Voldemort,19
Lucius Malfoy,18
Tom Riddle,18
Ron Weasley,9
Sirius Black,7
Original Female Character,6
none,4
Teddy Lupin,3
Fred Weasley,3
Tony Stark,3
Albus Dumbledore,3
Loki ,2
Remus Lupin,2
Lily Evans Potter,2
Petunia Evans Dursley,2
Vernon Dursley,2
Scorpius Malfoy,2
Marcus Flint,2
Theodore Nott,2
Other,2
George Weasley,2
Fred Weasley II,1
Anakin Skywalker,1
Bill Weasley,1
Clark Kent,1
James Potter,1
Colin Creevey,1
Original Male Character,1
Damian Wayne,1
Jasper Hale,1
Steve Rogers,1
Spike (BtVS),1
Hermione Granger,1
Viserys Targaryen,1
Oliver Wood,1
Percy Jackson,1
James Sirius Potter,1
Angel (BtVS),1
Midoriya Izuku,1
Kon - El | Connor Kent,1
Mycroft Holmes,1
Spencer Reid,1
Charlie Weasley,1
Regulus Black,1
Viktor Krum,1
Shane Walsh,1
Rigo Vasquez,1
Peter Hale,1
Zuko (Avatar),1
Original Character,1
Neville Longbottom,1
Luna Lovegood,1
Ginny Weasley - Relationship,1
past Harry Potter,1
Edward Cullen,1
Jacob Black,1
Blaise Zabini,1
Gideon de Villiers,1
Gwendolyn Shepherd,1
Edward Kenway,1
Orm Marius,1
Piers Polkiss,1
Desmond Miles,1
Haytham Kenway,1
Ned Stark,1
