Romantic Fluff,freq
Harry Potter,224
Draco Malfoy,200
Hermione Granger,172
Original Female Character,78
Remus Lupin,66
Sirius Black,61
Severus Snape,58
Reader,53
Ron Weasley,29
Fred Weasley,28
Lily Evans Potter,28
Luna Lovegood,24
James Potter,22
Ginny Weasley,22
Neville Longbottom,18
Tom Riddle,17
Voldemort,17
Newt Scamander,13
George Weasley,13
Lucius Malfoy,13
Pansy Parkinson,12
Gellert Grindelwald,9
Albus Dumbledore,9
Theodore Nott,8
Cedric Diggory,7
Original Male Character,7
James Sirius Potter,7
Blaise Zabini,6
Viktor Krum,6
Bill Weasley,6
Tina Goldstein,5
Original Character,5
Original Percival Graves,5
Albus Severus Potter,5
Scorpius Malfoy,5
Dean Thomas,4
Oliver Wood,4
Charlie Weasley,4
Credence Barebone,4
Narcissa Black Malfoy,4
Caspian (Narnia),3
Seamus Finnigan,3
Regulus Black,3
Marlene McKinnon,3
Player Character,3
Teddy Lupin,3
none,3
James Bucky Barnes,3
Crowley ,2
Dean Winchester,2
Mary Macdonald,2
Alicia Spinnet,2
Katie Bell,2
Dorcas Meadowes,2
Jacob Kowalski,2
Rose Weasley,2
Angelina Johnson,2
Leta Lestrange,2
Percy Weasley,2
Arthur Pendragon (Merlin),2
Merlin,2
Parvati Patil,2
Other,2
Fleur Delacour,2
Merula Snyde,2
Daphne Greengrass,2
cedric diggory,2
fred weasley,2
Aziraphale,1
Manyuda Kaede,1
Sumeragi Itsuki,1
Loki ,1
Chiara Lobosca,1
Jae Kim,1
Bellatrix Black Lestrange,1
Harry Hart | Galahad,1
Castiel,1
Erestor (Tolkien),1
Draco Malefoy,1
Original Non - Binary Character,1
Queenie Goldstein,1
Gryffindor Student,1
Slytherin Student,1
Fenrir Greyback,1
Arthur Weasley,1
Molly Weasley,1
Ernie Macmillan,1
Carlisle Cullen,1
Richard Winters,1
Skye Parkin,1
Thorfinn Rowle,1
Marcus Flint,1
Snape,1
Mycroft Holmes,1
Victoire Weasley,1
Theseus Scamander,1
Geralt z Rivii | Geralt of Rivia,1
Jaskier | Dandelion,1
Freed Justine,1
Laxus Dreyar,1
Antonin Dolohov,1
